名称,类型,地址,坐标,发起人微信,,,,,,,,,,,,,,,,
NCC数字游民,社区空间,云南省大理白族自治州大理市葱园村114号,"25.69533,100.149155",ShariCao,,,,,,,,,,,,,,,,
赛马场赛人🥏,兴趣小组,云南省大理白族自治州大理市大理镇白石路三月街,"25.696773,100.149107",,,,,,,,,,,,,,,,,
狼人杀杀人啦,兴趣小组,云南省大理白族自治州大理市葱园村114号,"25.69533,100.149155",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
面包树花园space,社区空间,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",,,,,,,,,,,,,,,,,
我爱做蛋糕,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",sallyesallye,,,,,,,,,,,,,,,,
朴门农业大法好,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",m2389711267,,,,,,,,,,,,,,,,
菜鸡德州爱好者,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",yes0989,,,,,,,,,,,,,,,,
炒菜还是炒币？,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",yes0989,,,,,,,,,,,,,,,,
搞个乐队咯,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",Dkdyy7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
阅山庭,社区空间,云南省大理白族自治州大理市附近,"25.742546,100.138811",yes0989,,,,,,,,,,,,,,,,
诗歌之夜,兴趣小组,云南省大理白族自治州大理市银桥镇下阳波面包树花园space,"25.743499,100.145646",ray7551,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Dali+壹号院,社区空间,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",,,,,,,,,,,,,,,,,
早起早超生（跑步🏃🏻‍♀️）,兴趣小组,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",chenyulaiye,,,,,,,,,,,,,,,,
旧物改改改,兴趣小组,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",mrnonon,,,,,,,,,,,,,,,,
木工手作我最爱,兴趣小组,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",,,,,,,,,,,,,,,,,
读书吧少年,兴趣小组,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",chenyulaiye,,,,,,,,,,,,,,,,
戏剧还是戏精？,兴趣小组,云南省大理白族自治州大理市西城尾公路大理家壹号院,"25.760482,100.143793",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DAOspace,社区空间,云南省大理白族自治州大理市苍坪街56号,"25.689699,100.165427",soda1543,,,,,,,,,,,,,,,,
DAO来DAO去,兴趣小组,云南省大理白族自治州大理市苍坪街56号,"25.689699,100.165427",,,,,,,,,,,,,,,,,
德州扒鸡哦不扑克！,兴趣小组,云南省大理白族自治州大理市苍坪街57号,"25.689699,100.165428",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
706,社区空间,云南省大理白族自治州大理市大理古城南门双鹤路定格客栈,"25.684474,100.168298",fangrong706,,,,,,,,,,,,,,,,
探访大理创新教育小组,兴趣小组,云南省大理白族自治州大理市大理古城南门双鹤路定格客栈,"25.684474,100.168298",,,,,,,,,,,,,,,,,
我爱做饭做饭🍚饭！,兴趣小组,云南省大理白族自治州大理市大理古城南门双鹤路定格客栈,"25.684474,100.168298",,,,,,,,,,,,,,,,,
菌子狂魔圈圈,兴趣小组,云南省大理白族自治州大理市大理古城南门双鹤路定格客栈,"25.684474,100.168298",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
爱智慧 共学共创,兴趣小组,云南省大理白族自治州大理市博学路与达真路交叉口西南方向150米,"25.675835,100.149453",pingcanfly,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
素方舟未来空间,社区空间,云南省大理白族自治州大理市214国道与双狮路交叉口东南角向南30米处,"25.700995,100.15429",,,,,,,,,,,,,,,,,
我不吃醋！我吃素！,兴趣小组,云南省大理白族自治州大理市214国道与双狮路交叉口东南角向南31米处,"25.700995,100.15430",,,,,,,,,,,,,,,,,
wamolab共享办公空间,社区空间,云南省大理白族自治州大理市214国道与双狮路交叉口东南角向南32米处,"25.700995,100.15431",FionaDAOeth,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DaliHub,社区空间,云南省大理白族自治州大理市大理古城水碓村101号,"25.695372,100.150778",,,,,,,,,,,,,,,,,
让我们摇摆摇摆摇摆,兴趣小组,云南省大理白族自治州大理市大理古城水碓村101号,"25.695372,100.150778",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
向量空间,社区空间,云南省大理白族自治州大理市大纸房村41号,"25.68846,100.15676",,,,,,,,,,,,,,,,,
AI爱打工,兴趣小组,云南省大理白族自治州大理市大纸房村41号,"25.68846,100.15676",xty_hello,,,,,,,,,,,,,,,,
ddd.dv,兴趣小组,云南省大理白族自治州大理市大纸房村41号,"25.68846,100.15676",xty_hello,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
元真宫,社区空间,云南省大理白族自治州大理市阳和茶厂(弘圣路西)门口,"25.662764,100.160487",scorpiorose,,,,,,,,,,,,,,,,